mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.011494278907775879,0.001498103141784668,0.0,0.0,relu,0.5,"(0, 12)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 12), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4050
0.008996367454528809,1.0728836059570312e-06,0.0,0.0,relu,1,"(0, 12)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 12), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4049
0.01299595832824707,0.003000497817993164,0.0,0.0,relu,0.001,"(0, 20)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 20), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4048
0.009496688842773438,0.000499725341796875,0.0,0.0,relu,0.001,"(100, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4047
0.009997367858886719,3.0994415283203125e-06,0.0,0.0,relu,0.05,"(0, 30)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (0, 30), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4046
0.009496092796325684,0.000502467155456543,0.0,0.0,relu,0.05,"(12, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (12, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4045
0.01249682903289795,0.0004991292953491211,0.0,0.0,relu,10,"(0, 12)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (0, 12), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4044
0.009496450424194336,0.0004999637603759766,0.0,0.0,relu,10,"(12, 0)",constant,adam,"{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (12, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4043
0.010994911193847656,0.0,0.0,0.0,relu,0.5,"(40, 0)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (40, 0), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4042
0.013496637344360352,0.003498077392578125,0.0,0.0,relu,0.5,"(0, 40)",constant,adam,"{'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (0, 40), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4041
0.010497212409973145,0.0004998445510864258,0.0,0.0,relu,1,"(0, 13)",constant,adam,"{'activation': 'relu', 'alpha': 1, 'hidden_layer_sizes': (0, 13), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4040
0.009497880935668945,0.0004994869232177734,0.0,0.0,relu,0.001,"(0, 100)",constant,adam,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (0, 100), 'learning_rate': 'constant', 'solver': 'adam'}",,,,,4039
